productId,productName
5ed67c50cb07110fd03bc954,China Town Chopsuey
5ed67c50cb07110fd03bc955,Chinese Chopsuey
5ed67c50cb07110fd03bc956,American Chopsuey
5ed67c50cb07110fd03bc957,Prawn Chopsuey
5ed67c50cb07110fd03bc958,Chicken Chopsuey
5ed67c50cb07110fd03bc959,Chicken Chowmein
5ed67c50cb07110fd03bc95a,Prawn Chowmein
5ed67c50cb07110fd03bc95b,Beef Chowmein
5ed67c50cb07110fd03bc95c,Vegetable Chowmein
5ed67c50cb07110fd03bc95d,Chicken Prawn Chowmein
5ed67c50cb07110fd03bc95e,Szechuan Chowmein
5ed67c50cb07110fd03bc95f,Foodpanda Exclusive Deal
5ed67c50cb07110fd03bc960,Daal Mash Fry
5ed67c50cb07110fd03bc961,Daal Chana Fry
5ed67c50cb07110fd03bc962,Moong Masoor Daal Fry
5ed67c50cb07110fd03bc963,Kurri Pakora Rice
5ed67c50cb07110fd03bc964,Anda Ghotala
5ed67c50cb07110fd03bc965,Murgh Chana Fry
5ed67c50cb07110fd03bc966,Anda Chana Fry
5ed67c50cb07110fd03bc967,Chicken Qeema Fry
5ed67c50cb07110fd03bc968,Sabzi Masala
5ed67c50cb07110fd03bc969,Chicken Masala
5ed67c50cb07110fd03bc96a,Chicken Laccha
5ed67c50cb07110fd03bc96b,Chicken White
5ed67c50cb07110fd03bc96c,Chicken Vegetable Fry
5ed67c50cb07110fd03bc96d,Chicken Qorma Fry
5ed67c50cb07110fd03bc96e,Chicken Kaleji Masala
5ed67c50cb07110fd03bc96f,Chicken Daal Chana Fry
5ed67c50cb07110fd03bc970,Chicken Daal Mash Fry
5ed67c50cb07110fd03bc971,Daal Chawal
5ed67c50cb07110fd03bc972,Chicken Karahi
5ed67c50cb07110fd03bc973,Vegetable Fry
5ed67c50cb07110fd03bc974,Daal Maash Masala
5ed67c50cb07110fd03bc975,Daal Maash Ghotala
5ed67c50cb07110fd03bc976,Daal Chana Masala
5ed67c50cb07110fd03bc977,Daal Chana Ghotala
5ed67c50cb07110fd03bc978,Daal Moong Masoor Masala
5ed67c50cb07110fd03bc979,Daal Moong masoor Ghotala
5ed67c50cb07110fd03bc97a,Anda Chana Ghotala
5ed67c50cb07110fd03bc97b,Vegetable Ghotala
5ed67c50cb07110fd03bc97c,Aloo Palak Fry
5ed67c50cb07110fd03bc97d,Chicken Palak Fry
5ed67c50cb07110fd03bc97e,Chicken Qeema Ghotala
5ed67c50cb07110fd03bc97f,Chicken Qeema Fry Rice
5ed67c50cb07110fd03bc980,Chicken Kaleji Fry Rice
5ed67c50cb07110fd03bc981,Anda Channa Fry Rice
5ed67c50cb07110fd03bc982,Chicken Lacha Rice
5ed67c50cb07110fd03bc983,Chicken Masala Rice
5ed67c50cb07110fd03bc984,Daal Channa Fry Rice
5ed67c50cb07110fd03bc985,Daal Mash Fry Rice
5ed67c50cb07110fd03bc986,Mix Vegetable Fry Rice
5ed67c50cb07110fd03bc987,Chicken Karahi Rice
5ed67c50cb07110fd03bc988,Chicken White Rice
5ed67c50cb07110fd03bc989,Chicken Daal Moong Fry
5ed67c50cb07110fd03bc98a,Chicken Laccha Rice
5ed67c50cb07110fd03bc98b,Daal Chana Fry Rice
5ed67c50cb07110fd03bc98c,Chicken Kaleji Fry
5ed67c50cb07110fd03bc98d,Chicken Kaleji Ghotala
5ed67c50cb07110fd03bc98e,Aloo Qeema Masala
5ed67c50cb07110fd03bc98f,Aloo Qeema Fry
